Zipcode,Total:,High school graduate (includes equivalency),Bachelors degree,"Some college, 1 or more years, no degree",Associates degree,Masters degree,"Some college, less than 1 year",No schooling completed,"12th grade, no diploma",Professional school degree,5th and 6th grade,7th and 8th grade,10th grade,9th grade,11th grade,Nursery to 4th grade,Doctorate degree
37013,62355,15971,14323,9466,5652,4860,3147,1822,1386,1055,951,705,894,821,638,355,309
37027,36625,2744,16139,2887,1693,7717,1215,112,129,2137,37,139,105,72,47,11,1441
37069,13385,1048,5901,1419,615,2514,504,23,89,750,10,39,9,0,24,0,440
37072,22679,6735,4367,3424,1801,1491,1947,256,427,360,161,353,306,259,426,68,298
37076,28788,6816,7658,4458,2649,2296,1855,272,433,473,110,60,403,377,399,141,388
37080,5643,1911,669,757,375,258,336,141,120,86,57,101,305,205,262,0,60
37115,27433,9319,3425,4258,1966,1417,1676,633,576,238,565,604,595,696,1001,344,120
37138,17007,4208,4155,2458,1403,1172,1195,136,265,407,30,439,261,126,525,16,211
37189,3139,859,717,487,225,317,184,0,69,107,14,22,24,20,36,0,58
37201,1257,245,4467,202,28,37,99,0,1,18,17,38,48,15,24,0,18
37203,11223,766,3730,1222,423,1858,471,46,217,623,0,89,150,184,306,26,481
37204,9905,696,4207,988,505,1888,219,63,38,663,20,6,82,65,143,6,316
37205,18164,1220,7252,1700,724,3385,542,9,50,1889,0,52,52,56,51,62,1120
37206,18741,3683,5686,2579,786,2119,1135,241,157,576,76,222,323,216,405,27,328
37207,25832,8857,3745,4230,1443,1319,1545,580,730,178,385,459,586,496,954,88,237
37208,11873,2771,2270,1815,286,1602,539,203,289,309,55,287,285,357,496,8,301
37209,26141,5274,7487,3481,1541,2835,915,338,295,1172,128,344,670,235,708,93,625
37210,10895,3167,2199,1507,630,432,498,261,375,162,319,164,268,394,319,106,94
37211,52117,11897,12916,6621,2937,4999,2007,1528,1122,811,1273,1504,1015,1334,775,738,640
37212,10553,934,3604,962,396,2045,405,50,120,825,0,53,59,57,84,7,952
37213,76,54,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37214,23046,5609,6579,3461,2014,1960,1535,170,316,277,57,117,351,123,229,27,221
37215,16500,763,6315,1552,317,3336,427,7,103,2472,6,44,45,22,35,6,1050
37216,13961,3022,4095,2183,974,1404,748,33,169,176,32,66,308,192,315,72,172
37217,20580,5860,4572,2975,1414,1284,1285,560,267,142,306,572,376,240,334,185,103
37218,11538,3325,1692,2130,629,906,836,116,356,138,91,279,363,151,430,0,96
37219,953,52,434,145,39,110,0,0,0,138,0,0,0,0,0,0,35
37220,4278,479,1839,453,194,664,158,0,0,352,0,0,7,0,0,11,121
37221,30029,4323,9671,4296,2036,4803,1104,276,156,1111,27,176,129,175,266,80,1400
37228,1232,264,209,223,28,180,0,0,29,53,3,0,144,18,36,0,45
